Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Origin Zone Source,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Destination Zone Source,Day Type,Day Part,Average Daily O-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Travel Time (sec)
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351001001',no,N/A,no,Census Block Group,4:  We (W-W),16:  HR15 (3pm-4pm),18,71,N/A,2049
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351014022',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),6,864,N/A,2912
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351014022',no,N/A,no,Census Block Group,0: All Days (M-Su),13:  HR12 (12noon-1pm),1,77,N/A,2950
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351014022',no,N/A,no,Census Block Group,0: All Days (M-Su),15:  HR14 (2pm-3pm),3,120,N/A,2308
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351014022',no,N/A,no,Census Block Group,0: All Days (M-Su),19:  HR18 (6pm-7pm),1,50,N/A,3479
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351014022',no,N/A,no,Census Block Group,2:  Tu (Tu-Tu),00: All Day (12am-12am),9,556,N/A,2950
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351014022',no,N/A,no,Census Block Group,2:  Tu (Tu-Tu),13:  HR12 (12noon-1pm),9,57,N/A,2950
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351014022',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),00: All Day (12am-12am),10,612,N/A,2629
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351014022',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),13:  HR12 (12noon-1pm),3,65,N/A,2950
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351014022',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),15:  HR14 (2pm-3pm),7,53,N/A,2308
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351014022',no,N/A,no,Census Block Group,5:  Th (Th-Th),00: All Day (12am-12am),22,663,N/A,2308
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351014022',no,N/A,no,Census Block Group,5:  Th (Th-Th),15:  HR14 (2pm-3pm),22,100,N/A,2308
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351014022',no,N/A,no,Census Block Group,6:  Fr (F-F),00: All Day (12am-12am),9,1332,N/A,3479
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351014022',no,N/A,no,Census Block Group,6:  Fr (F-F),19:  HR18 (6pm-7pm),9,99,N/A,3479
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351015003',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),3,864,N/A,2654
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351015003',no,N/A,no,Census Block Group,0: All Days (M-Su),18:  HR17 (5pm-6pm),3,45,N/A,2654
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351015003',no,N/A,no,Census Block Group,6:  Fr (F-F),00: All Day (12am-12am),15,1332,N/A,2654
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351015003',no,N/A,no,Census Block Group,6:  Fr (F-F),18:  HR17 (5pm-6pm),15,118,N/A,2654
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351016001',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),4,864,N/A,2264
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351016001',no,N/A,no,Census Block Group,0: All Days (M-Su),15:  HR14 (2pm-3pm),4,120,N/A,2264
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351016001',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),00: All Day (12am-12am),10,612,N/A,2264
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351016001',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),15:  HR14 (2pm-3pm),10,53,N/A,2264
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351016001',no,N/A,no,Census Block Group,5:  Th (Th-Th),00: All Day (12am-12am),31,663,N/A,2264
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351016001',no,N/A,no,Census Block Group,5:  Th (Th-Th),15:  HR14 (2pm-3pm),31,100,N/A,2264
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351017002',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),6,864,N/A,7004
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351017002',no,N/A,no,Census Block Group,0: All Days (M-Su),10:  HR09 (9am-10am),3,18,N/A,11559
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351017002',no,N/A,no,Census Block Group,0: All Days (M-Su),15:  HR14 (2pm-3pm),3,120,N/A,2449
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351017002',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),00: All Day (12am-12am),8,612,N/A,11559
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351017002',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),10:  HR09 (9am-10am),8,18,N/A,11559
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351017002',no,N/A,no,Census Block Group,4:  We (W-W),00: All Day (12am-12am),23,619,N/A,11559
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351017002',no,N/A,no,Census Block Group,4:  We (W-W),10:  HR09 (9am-10am),23,23,N/A,11559
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351017002',no,N/A,no,Census Block Group,6:  Fr (F-F),00: All Day (12am-12am),18,1332,N/A,2449
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351017002',no,N/A,no,Census Block Group,6:  Fr (F-F),15:  HR14 (2pm-3pm),18,256,N/A,2449
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351018003',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),2,864,N/A,3891
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351018003',no,N/A,no,Census Block Group,0: All Days (M-Su),15:  HR14 (2pm-3pm),2,120,N/A,3891
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351018003',no,N/A,no,Census Block Group,6:  Fr (F-F),00: All Day (12am-12am),14,1332,N/A,3891
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351018003',no,N/A,no,Census Block Group,6:  Fr (F-F),15:  HR14 (2pm-3pm),14,256,N/A,3891
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351025011',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),3,864,N/A,2395
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351025011',no,N/A,no,Census Block Group,0: All Days (M-Su),12:  HR11 (11am-12noon),3,93,N/A,2395
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351025011',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),10,1033,N/A,2395
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351025011',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),12:  HR11 (11am-12noon),10,88,N/A,2395
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351025011',no,N/A,no,Census Block Group,9:  Su (Su-Su),00: All Day (12am-12am),23,1233,N/A,2395
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351025011',no,N/A,no,Census Block Group,9:  Su (Su-Su),12:  HR11 (11am-12noon),23,108,N/A,2395
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351025021',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),2,864,N/A,2185
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351025021',no,N/A,no,Census Block Group,0: All Days (M-Su),21:  HR20 (8pm-9pm),2,5,N/A,2185
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351025021',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),00: All Day (12am-12am),13,873,N/A,2185
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351025021',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),21:  HR20 (8pm-9pm),13,13,N/A,2185
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351025021',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),7,1033,N/A,2185
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351025021',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),21:  HR20 (8pm-9pm),7,7,N/A,2185
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351029002',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),1,864,N/A,3213
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351029002',no,N/A,no,Census Block Group,0: All Days (M-Su),18:  HR17 (5pm-6pm),1,45,N/A,3213
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351029002',no,N/A,no,Census Block Group,6:  Fr (F-F),00: All Day (12am-12am),8,1332,N/A,3213
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351029002',no,N/A,no,Census Block Group,6:  Fr (F-F),18:  HR17 (5pm-6pm),8,118,N/A,3213
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351029003',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),2,864,N/A,3824
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351029003',no,N/A,no,Census Block Group,0: All Days (M-Su),12:  HR11 (11am-12noon),2,93,N/A,3824
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351029003',no,N/A,no,Census Block Group,6:  Fr (F-F),00: All Day (12am-12am),12,1332,N/A,3824
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351029003',no,N/A,no,Census Block Group,6:  Fr (F-F),12:  HR11 (11am-12noon),12,145,N/A,3824
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351033003',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),3,864,N/A,3571
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351033003',no,N/A,no,Census Block Group,0: All Days (M-Su),17:  HR16 (4pm-5pm),3,90,N/A,3571
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351033003',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),00: All Day (12am-12am),20,873,N/A,3571
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351033003',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),17:  HR16 (4pm-5pm),20,88,N/A,3571
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351033003',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),11,1033,N/A,3571
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351033003',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),17:  HR16 (4pm-5pm),11,151,N/A,3571
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351040001',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),1,864,N/A,2134
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351040001',no,N/A,no,Census Block Group,0: All Days (M-Su),14:  HR13 (1pm-2pm),1,91,N/A,2134
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351040001',no,N/A,no,Census Block Group,1:  Mo (M-M),00: All Day (12am-12am),11,653,N/A,2134
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351040001',no,N/A,no,Census Block Group,1:  Mo (M-M),14:  HR13 (1pm-2pm),11,37,N/A,2134
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351042004',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),2,864,N/A,1718
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351042004',no,N/A,no,Census Block Group,0: All Days (M-Su),13:  HR12 (12noon-1pm),2,77,N/A,1718
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351042004',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),6,1033,N/A,1718
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351042004',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),13:  HR12 (12noon-1pm),6,102,N/A,1718
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351042004',no,N/A,no,Census Block Group,9:  Su (Su-Su),00: All Day (12am-12am),14,1233,N/A,1718
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351042004',no,N/A,no,Census Block Group,9:  Su (Su-Su),13:  HR12 (12noon-1pm),14,99,N/A,1718
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351043002',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),9,864,N/A,2869
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351043002',no,N/A,no,Census Block Group,0: All Days (M-Su),16:  HR15 (3pm-4pm),3,142,N/A,1834
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351043002',no,N/A,no,Census Block Group,0: All Days (M-Su),17:  HR16 (4pm-5pm),6,90,N/A,3386
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351043002',no,N/A,no,Census Block Group,1:  Mo (M-M),00: All Day (12am-12am),22,653,N/A,5126
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351043002',no,N/A,no,Census Block Group,1:  Mo (M-M),17:  HR16 (4pm-5pm),22,87,N/A,5126
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351043002',no,N/A,no,Census Block Group,2:  Tu (Tu-Tu),00: All Day (12am-12am),22,556,N/A,1834
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351043002',no,N/A,no,Census Block Group,2:  Tu (Tu-Tu),16:  HR15 (3pm-4pm),22,141,N/A,1834
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351043002',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),00: All Day (12am-12am),15,612,N/A,1740
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351043002',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),16:  HR15 (3pm-4pm),7,119,N/A,1834
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351043002',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),17:  HR16 (4pm-5pm),7,47,N/A,1646
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351043002',no,N/A,no,Census Block Group,4:  We (W-W),00: All Day (12am-12am),22,619,N/A,1646
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351043002',no,N/A,no,Census Block Group,4:  We (W-W),17:  HR16 (4pm-5pm),22,63,N/A,1646
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351049001',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),4,864,N/A,2567
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351049001',no,N/A,no,Census Block Group,0: All Days (M-Su),18:  HR17 (5pm-6pm),4,45,N/A,2567
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351049001',no,N/A,no,Census Block Group,6:  Fr (F-F),00: All Day (12am-12am),24,1332,N/A,2567
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351049001',no,N/A,no,Census Block Group,6:  Fr (F-F),18:  HR17 (5pm-6pm),24,118,N/A,2567
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351101061',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),3,864,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351101061',no,N/A,no,Census Block Group,0: All Days (M-Su),09:  HR08 (8am-9am),3,47,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351101061',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),11,1033,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351101061',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),09:  HR08 (8am-9am),11,68,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351101061',no,N/A,no,Census Block Group,9:  Su (Su-Su),00: All Day (12am-12am),26,1233,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351101061',no,N/A,no,Census Block Group,9:  Su (Su-Su),09:  HR08 (8am-9am),26,72,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351101063',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),5,864,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,1,PCMR_Base,no,N/A,no,Input,"",'490351101063',no,N/A,no,Census Block Group,0: All Days (M-Su),09:  HR08 (8am-9am),2,47,N/A,N/A
